iso3,country_name_clean,region,debt_source,icrg_match,year,debt,debt_service,vulnerability,exposure,sensitivity,damage_gdp,n_events,deaths_tot,gdp_pc_ppp,gdp_growth,current_account,inflation,fiscal_balance,remittances,trade_gdp_unctad,population,gdp_nominal_usd
BHS,Bahamas,Caribbean,WEO,TRUE,2005,22.954,NA,0.461465172350944,0.427355856801259,0.314351800337095,0,1,1,35365.4663980219,3.39608420536011,-7.12305028440183,1.59160618079802,-1.155,NA,31.109574835810577,343894,9836200000
BHS,Bahamas,Caribbean,WEO,TRUE,2006,23.154,NA,0.461017686364701,0.427355856801259,0.31340136402226,0,0,0,35789.1322131898,2.51659221712706,-13.8061914480317,2.38982627439254,-0.439,NA,30.883473899038577,348375,10167250000
BHS,Bahamas,Caribbean,WEO,TRUE,2007,23.49,NA,0.461013922382915,0.427355856801259,0.313737602189643,0,1,1,35797.118972073,1.44609991235758,-12.3851568041165,2.49257794939396,-0.773,NA,32.029488601796515,353334,10618340000
BHS,Bahamas,Caribbean,WEO,TRUE,2008,25.344,NA,0.458093051138473,0.427355856801259,0.313531876859265,0,2,0,34498.0351399173,-2.32364807041851,-11.6100892944233,4.4895599537506,-0.824,NA,33.1559946798404,358120,10526000000
BHS,Bahamas,Caribbean,WEO,TRUE,2009,30.089,NA,0.45984811540009,0.427355856801259,0.318448225743933,0,0,0,32630.263065979,-4.17542805647342,-8.10442037435534,2.06273473452682,-2.388,NA,30.675338310311805,362810,9981960000
BHS,Bahamas,Caribbean,WEO,TRUE,2010,33.883,NA,0.458686075248946,0.427355856801259,0.316536248021786,0,0,0,32711.4592459383,1.53866248693835,-8.0632166374795,1.34402738392836,-2.57,NA,31.656853966417582,367478,10095760000
BHS,Bahamas,Caribbean,WEO,TRUE,2011,35.262,NA,0.456135245110506,0.427355856801259,0.312873129086642,553.9176501546604,1,0,32535.6625139135,0.613170735890648,-11.9472714724764,3.1987814166032,-2.868,NA,33.03725255574478,371729,10070450000
BHS,Bahamas,Caribbean,WEO,TRUE,2012,37.589,NA,0.454013285608455,0.427355856801259,0.312705735095636,0,1,1,33667.5547098911,4.52003886739061,-14.0368120592515,1.97336755976254,-3.253,NA,34.28043729711578,375469,10720400000
BHS,Bahamas,Caribbean,WEO,TRUE,2013,44.248,NA,0.452995539369164,0.427355856801259,0.309055803904104,578.4559869407082,1,0,32402.9163503108,-2.86320081549439,-14.2614149475433,0.722414784530551,-5.098,NA,34.614760436455285,378953,10475300000
BHS,Bahamas,Caribbean,WEO,TRUE,2014,47.748,NA,0.452721186822024,0.427355856801259,0.308903742534221,0,0,0,32712.6356664811,1.8469701294558,-16.9249150364207,1.51375643050831,-4.511,NA,31.95051664856227,382298,11139100000
BHS,Bahamas,Caribbean,WEO,TRUE,2015,49.941,NA,0.455416869422402,0.427355856801259,0.315564024977729,1006.2343718321282,1,33,32777.5849410742,0.997411675486745,-10.1639297057562,1.86148302863371,-3.337,NA,28.857200783942687,385346,11837600000
